"rt","stimulus","response","screen","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","question_order","success","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number"
"991","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Informed Consent</h1><p align='left'>In this study, you will be asked to complete [TODO].</p><p align='left'>Your participation in this research will be kept completely confidential. <b>Your responses are entirely anonymous</b>, and no IP address or any identifiers are collected.</p><p align='left'>Your participation contributes to scientific advancement. <b>By participating, you agree to follow the instructions and provide honest answers.</b> If you do not wish to participate this survey, simply close your browser.</p><p align='left'><br><sub><sup>If you have any questions about the project, please contact [TODO] This project has been reviewed and approved by the Ethics Comitee of the University of [TODO].</sup></sub></p>","0","consent","html-button-response","0","992","0.0-0.0","Elvis","dupa","","","","","","","","","","","","","","",""
"1397","","{""sex"":""Male""}","demographics_1","survey-multi-choice","1","2390","0.0-1.0","Elvis","dupa","[0]","","","","","","","","","","","","","",""
"","","","","preload","2","2395","0.0-2.0","Elvis","dupa","","true","false","[]","[]","[]","","","","","","","","",""
"537","<h1>Shape-Label Association Game</h1><p>In this task, you will be shown some <b>shapes</b> that will be assigned to a <b>label</b> (You, Your Best Friend and a Stranger).</p><p>To personalize this game to your own experience, you will first select who you want the friend and the stranger to be.</p>","0","SAT_instructions_general","html-button-response","3","2933","0.0-3.0","Elvis","dupa","","","","","","","","","","","","","","",""
"2917","","{""label_stranger"":""Elvis""}","SAT_strangerlabel","survey-multi-choice","4","5851","0.0-4.0","Elvis","dupa","[0]","","","","","","","","","","","","","",""
"2569","","{""label_friend"":""dupa""}","SAT_friendlabel","survey-text","5","8424","0.0-5.0","Elvis","dupa","","","","","","","","","","","","","","",""
"2553","<h1>Practice</h1><p>Each label (i.e., You, Best Friend, Stranger) will be assigned to a specific shape (circle, square or triangle)</p><p>During the practice phase, you will be presented with one of the shapes above a fixation cross, together with the three labels below the fixation cross.</p><p>Your task is to select the label that corresponds with the presented shape as quickly and accurately as possible</p><p>If the correct label is on the <b>left</b>, press <b>'v'</b>.</p><p>If the correct label is in the <b>middle</b>, press <b>'b'</b>.</p><p>If the correct label is on the <b>right</b>, press <b>'n'</b>.</p><br>","0","SAT_instructions_practice","html-button-response","6","10978","0.0-6.0","Elvis","dupa","","","","","","","","","","","","","","",""
"5191","<h1>Instructions</h1><div id ='align-middle'><b>You</b> will be represented by a <b>triangle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=40></img></div><br><div id ='align-middle'><b>Elvis</b> will be represented by a <b>square</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=40></img></div><br><div id = 'align-middle'><b>dupa</b> will be represented by a <b>circle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=40></img></div><br>","0","SAT_assignmentscreen","html-button-response","7","16169","0.0-7.0","Elvis","dupa","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","8","16671","0.0-8.0-0.0","Elvis","dupa","","","","","","","500","","","","","","","",""
"868","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Elvis</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>dupa</b></br></br></br></br>n</div>","v","sat_practicetrial","html-keyboard-response","9","17540","0.0-8.0-1.0","Elvis","dupa","","","","","","","","triangle","1","You","You","true","Self","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","10","18052","0.0-8.0-2.0","Elvis","dupa","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","11","18566","0.0-8.0-0.1","Elvis","dupa","","","","","","","500","","","","","","","",""
"572","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Elvis</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>dupa</b></br></br></br></br>n</div>","b","sat_practicetrial","html-keyboard-response","12","19139","0.0-8.0-1.1","Elvis","dupa","","","","","","","","square","2","Elvis","Elvis","true","Stranger","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","13","19650","0.0-8.0-2.1","Elvis","dupa","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","14","20163","0.0-8.0-0.2","Elvis","dupa","","","","","","","500","","","","","","","",""
"1389","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Elvis</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>dupa</b></br></br></br></br>n</div>","v","sat_practicetrial","html-keyboard-response","15","21552","0.0-8.0-1.2","Elvis","dupa","","","","","","","","triangle","3","You","You","true","Self","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","16","22067","0.0-8.0-2.2","Elvis","dupa","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","17","22580","0.0-8.0-0.3","Elvis","dupa","","","","","","","500","","","","","","","",""
"804","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Elvis</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>dupa</b></br></br></br></br>n</div>","n","sat_practicetrial","html-keyboard-response","18","23385","0.0-8.0-1.3","Elvis","dupa","","","","","","","","circle","4","dupa","dupa","true","Friend","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","19","23895","0.0-8.0-2.3","Elvis","dupa","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","20","24405","0.0-8.0-0.4","Elvis","dupa","","","","","","","500","","","","","","","",""
"388","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Elvis</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>dupa</b></br></br></br></br>n</div>","n","sat_practicetrial","html-keyboard-response","21","24793","0.0-8.0-1.4","Elvis","dupa","","","","","","","","circle","5","dupa","dupa","true","Friend","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","22","25308","0.0-8.0-2.4","Elvis","dupa","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","23","25823","0.0-8.0-0.5","Elvis","dupa","","","","","","","500","","","","","","","",""
"845","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Elvis</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>dupa</b></br></br></br></br>n</div>","b","sat_practicetrial","html-keyboard-response","24","26669","0.0-8.0-1.5","Elvis","dupa","","","","","","","","square","6","Elvis","Elvis","true","Stranger","",""
"2046","<h1>Congratulations!</h1><p>You have completed the training.</p>","0","sat_practice_end","html-button-response","25","28715","0.0-9.0","Elvis","dupa","","","","","","","","","","","","","","",""
"3660","<h1>Instructions</h1><p>In this part of the game, the previous shapes will be re-assigned to the labels.</p><p>Your task will be then to decide if the presented shape matches their newly assigned label as quickly and accurately as possible.</p><p>If the shape-label pair is a match, press <b>'e'</b>.</p><p>If the shape-label pair is not a match, press <b>'i'</b></p><br><p>Good luck!</p>","0","matching_instructions","html-button-response","26","32376","0.0-10.0","Elvis","dupa","","","","","","","","","","","","","","",""
"4276","<h1>Instructions</h1><div id ='align-middle'><b>You</b> will be represented by a <b>circle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=40></img></div><br><div id ='align-middle'><b>Elvis</b> will be represented by a <b>triangle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=40></img></div><br><div id = 'align-middle'><b>dupa</b> will be represented by a <b>square</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=40></img></div><br>","0","SAT_assignmentscreen","html-button-response","27","36653","0.0-11.0","Elvis","dupa","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","28","37157","0.0-12.0-0.0","Elvis","dupa","","","","","","","500","","","","","","","",""
"2697","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","i","sat_trial","html-keyboard-response","29","39855","0.0-12.0-1.0","Elvis","dupa","","","","","","","","square","1","mismatch","mismatch","true","","Self","1"
