"rt","stimulus","response","screen","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","question_order","success","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number"
"526","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Babar</b></br></br></br></br>n</div>","n","sat_practicetrial","html-keyboard-response","21","25624","0.0-8.0-1.4","Eminem","Babar","","","","","","","","square","5","Babar","Babar","true","Friend","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","22","26126","0.0-8.0-2.4","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","23","26637","0.0-8.0-0.5","Eminem","Babar","","","","","","","500","","","","","","","",""
"220","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Babar</b></br></br></br></br>n</div>","b","sat_practicetrial","html-keyboard-response","24","26858","0.0-8.0-1.5","Eminem","Babar","","","","","","","","triangle","6","Eminem","Eminem","true","Stranger","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","25","27369","0.0-8.0-2.5","Eminem","Babar","","","","","","","","","","","","","","",""
"2525","<h1>Congratulations!</h1><p>You have completed the training.</p>","0","sat_practice_end","html-button-response","26","29894","0.0-9.0","Eminem","Babar","","","","","","","","","","","","","","",""
"2193","<h1>Instructions</h1><p>In this part of the game, the previous shapes will be re-assigned to the labels.</p><p>Your task will be then to decide if the presented shape matches their newly assigned label as quickly and accurately as possible.</p><p>If the shape-label pair is a match, press <b>'e'</b>.</p><p>If the shape-label pair is not a match, press <b>'i'</b></p><br><p>Good luck!</p>","0","matching_instructions","html-button-response","27","32087","0.0-10.0","Eminem","Babar","","","","","","","","","","","","","","",""
"17883","<h1>Instructions</h1><div id ='align-middle'><b>You</b> will be represented by a <b>triangle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=40></img></div><br><div id ='align-middle'><b>Eminem</b> will be represented by a <b>square</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=40></img></div><br><div id = 'align-middle'><b>Babar</b> will be represented by a <b>circle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=40></img></div><br>","0","SAT_assignmentscreen","html-button-response","28","49972","0.0-11.0","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","29","50479","0.0-12.0-0.0","Eminem","Babar","","","","","","","500","","","","","","","",""
"2424","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Babar</div>","i","sat_trial","html-keyboard-response","30","52904","0.0-12.0-1.0","Eminem","Babar","","","","","","","","circle","1","mismatch","mismatch","true","","Stranger","1"
