"rt","stimulus","response","screen","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","question_order","success","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number"
"null","<p style = 'font-size: 300%; color:blue'>Out of Time!</p>","null","sat_feedback","html-keyboard-response","10","44201","0.0-8.0-2.0","Eminem","Cris","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","11","44704","0.0-8.0-0.1","Eminem","Cris","","","","","","","500","","","","","","","",""
"null","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Cris</b></br></br></br></br>n</div>","null","sat_practicetrial","html-keyboard-response","12","50709","0.0-8.0-1.1","Eminem","Cris","","","","","","","","square","2","null","Eminem","false","Stranger","",""
"null","<p style = 'font-size: 300%; color:blue'>Out of Time!</p>","null","sat_feedback","html-keyboard-response","13","51217","0.0-8.0-2.1","Eminem","Cris","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","14","51719","0.0-8.0-0.2","Eminem","Cris","","","","","","","500","","","","","","","",""
"962","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Cris</b></br></br></br></br>n</div>","n","sat_practicetrial","html-keyboard-response","15","52683","0.0-8.0-1.2","Eminem","Cris","","","","","","","","triangle","3","Cris","Cris","true","Friend","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","16","53193","0.0-8.0-2.2","Eminem","Cris","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","17","53701","0.0-8.0-0.3","Eminem","Cris","","","","","","","500","","","","","","","",""
"1448","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Cris</b></br></br></br></br>n</div>","v","sat_practicetrial","html-keyboard-response","18","55149","0.0-8.0-1.3","Eminem","Cris","","","","","","","","circle","4","You","You","true","Self","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","19","55656","0.0-8.0-2.3","Eminem","Cris","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","20","56161","0.0-8.0-0.4","Eminem","Cris","","","","","","","500","","","","","","","",""
"2737","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Cris</b></br></br></br></br>n</div>","b","sat_practicetrial","html-keyboard-response","21","58899","0.0-8.0-1.4","Eminem","Cris","","","","","","","","circle","5","Eminem","You","false","Self","",""
"null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","sat_feedback","html-keyboard-response","22","59405","0.0-8.0-2.4","Eminem","Cris","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","23","59913","0.0-8.0-0.5","Eminem","Cris","","","","","","","500","","","","","","","",""
"1124","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Cris</b></br></br></br></br>n</div>","n","sat_practicetrial","html-keyboard-response","24","61039","0.0-8.0-1.5","Eminem","Cris","","","","","","","","triangle","6","Cris","Cris","true","Friend","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","25","61540","0.0-8.0-2.5","Eminem","Cris","","","","","","","","","","","","","","",""
"6008","<h1>Congratulations!</h1><p>You have completed the training.</p>","0","sat_practice_end","html-button-response","26","67550","0.0-9.0","Eminem","Cris","","","","","","","","","","","","","","",""
"10476","<h1>Instructions</h1><p>In this part of the game, the previous shapes will be re-assigned to the labels.</p><p>Your task will be then to decide if the presented shape matches their newly assigned label as quickly and accurately as possible.</p><p>If the shape-label pair is a match, press <b>'e'</b>.</p><p>If the shape-label pair is not a match, press <b>'i'</b></p><br><p>Good luck!</p>","0","matching_instructions","html-button-response","27","78028","0.0-10.0","Eminem","Cris","","","","","","","","","","","","","","",""
"9417","<h1>Instructions</h1><div id ='align-middle'><b>You</b> will be represented by a <b>circle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=40></img></div><br><div id ='align-middle'><b>Eminem</b> will be represented by a <b>square</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=40></img></div><br><div id = 'align-middle'><b>Cris</b> will be represented by a <b>triangle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=40></img></div><br>","0","SAT_assignmentscreen","html-button-response","28","87447","0.0-11.0","Eminem","Cris","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","29","87950","0.0-12.0-0.0","Eminem","Cris","","","","","","","500","","","","","","","",""
"1617","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","i","sat_trial","html-keyboard-response","30","89569","0.0-12.0-1.0","Eminem","Cris","","","","","","","","triangle","1","mismatch","match","false","","Friend","1"
"null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","sat_feedback","html-keyboard-response","31","90080","0.0-12.0-2.0","Eminem","Cris","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","32","90589","0.0-12.0-0.1","Eminem","Cris","","","","","","","500","","","","","","","",""
"1322","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","sat_trial","html-keyboard-response","33","91912","0.0-12.0-1.1","Eminem","Cris","","","","","","","","triangle","2","match","mismatch","false","","Self","1"
"null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","sat_feedback","html-keyboard-response","34","92421","0.0-12.0-2.1","Eminem","Cris","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","35","92927","0.0-12.0-0.2","Eminem","Cris","","","","","","","500","","","","","","","",""
