"success","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","screen","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"","html-keyboard-response","400","154469","0.0-22.0-1.121","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","124","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","e","","","","","","","square","122","match","match","true","","Stranger","1","","","","","","","","","","",""
"","html-keyboard-response","401","154671","0.0-22.0-2.121","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","201","<p style = 'font-size: 300%; color:green'>Correct!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","402","155173","0.0-22.0-0.122","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","403","155286","0.0-22.0-1.122","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","111","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","circle","123","match","mismatch","false","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","404","155477","0.0-22.0-2.122","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","190","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","405","155979","0.0-22.0-0.123","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","406","156100","0.0-22.0-1.123","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","121","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","circle","124","match","mismatch","false","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","407","156332","0.0-22.0-2.123","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","232","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","408","156833","0.0-22.0-0.124","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","409","156899","0.0-22.0-1.124","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","64","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","square","125","match","mismatch","false","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","410","157080","0.0-22.0-2.124","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","181","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","411","157582","0.0-22.0-0.125","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","412","157666","0.0-22.0-1.125","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","83","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>xxx</div>","e","","","","","","","triangle","126","match","mismatch","false","","Friend","1","","","","","","","","","","",""
"","html-keyboard-response","413","157851","0.0-22.0-2.125","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","184","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","414","158354","0.0-22.0-0.126","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","415","158451","0.0-22.0-1.126","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","97","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>xxx</div>","e","","","","","","","circle","127","match","match","true","","Friend","1","","","","","","","","","","",""
"","html-keyboard-response","416","158637","0.0-22.0-2.126","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","185","<p style = 'font-size: 300%; color:green'>Correct!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","417","159139","0.0-22.0-0.127","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","418","159197","0.0-22.0-1.127","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","57","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","triangle","128","match","match","true","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","419","159396","0.0-22.0-2.127","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","198","<p style = 'font-size: 300%; color:green'>Correct!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","420","159898","0.0-22.0-0.128","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","421","159961","0.0-22.0-1.128","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","62","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","circle","129","match","mismatch","false","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","422","160136","0.0-22.0-2.128","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","174","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","423","160637","0.0-22.0-0.129","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","424","160694","0.0-22.0-1.129","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","56","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>xxx</div>","e","","","","","","","circle","130","match","match","true","","Friend","1","","","","","","","","","","",""
"","html-keyboard-response","425","160878","0.0-22.0-2.129","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","184","<p style = 'font-size: 300%; color:green'>Correct!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","426","161379","0.0-22.0-0.130","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","427","161484","0.0-22.0-1.130","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","103","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","circle","131","match","mismatch","false","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","428","161664","0.0-22.0-2.130","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","180","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","429","162167","0.0-22.0-0.131","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","430","162216","0.0-22.0-1.131","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","49","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","e","","","","","","","square","132","match","match","true","","Stranger","1","","","","","","","","","","",""
"","html-keyboard-response","431","162411","0.0-22.0-2.131","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","194","<p style = 'font-size: 300%; color:green'>Correct!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","432","162913","0.0-22.0-0.132","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","433","163059","0.0-22.0-1.132","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","145","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","square","133","match","mismatch","false","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","434","163260","0.0-22.0-2.132","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","201","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
