"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","rt","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","ketamine_T1","fullscreen","0","1714","0.0-0.0","Seal","Martijn","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","1","7689","0.0-1.0","Seal","Martijn","5974","{""Q0"":""3541""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","2","42752","0.0-2.0","Seal","Martijn","35059","{""Q0"":""11-07-2024""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","psychedelics_1","","survey-multi-choice","3","45739","0.0-3.0","Seal","Martijn","2987","{""meditate"":""Yes""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","4","57638","0.0-4.0-0.0","Seal","Martijn","11898","{""sex"":""Male"",""student"":""No"",""education"":""University (masters) <sub><sup>or equivalent</sup></sub>"",""language"":""Native""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","5","64999","0.0-4.0-1.0","Seal","Martijn","7360","{""age"":""49"",""country"":""Netherlands""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","preload","6","65136","0.0-5.0","Seal","Martijn","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","SAT_instructions_general","","html-button-response","7","106829","0.0-6.0","Seal","Martijn","41691","0","","","","","","<h1>Shape-Label Association Game</h1><p>In this task, you will be shown some <b>shapes</b> that will be assigned to a <b>label</b> (You, Your Best Friend and a Stranger).</p><p>To personalize this game to your own experience, you will first select who you want the friend and the stranger to be.</p>","","","","","","","","","","","","","","","","","","","",""
"","SAT_strangerlabel","","survey-multi-choice","8","110818","0.0-7.0","Seal","Martijn","3987","{""label_stranger"":""Seal""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAT_friendlabel","","survey-text","9","128924","0.0-8.0","Seal","Martijn","18105","{""label_friend"":""Martijn""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAT_instructions_practice","","html-button-response","10","139997","0.0-9.0","Seal","Martijn","11072","0","","","","","","<h1>Practice</h1><p>Each label (i.e., You, Best Friend, Stranger) will be assigned to a specific shape (circle, square or triangle)</p><p>During the practice phase, you will be presented with one of the shapes above a fixation cross, together with the three labels below the fixation cross.</p><p>Your task is to select the label that corresponds with the presented shape as quickly and accurately as possible</p><p>If the correct label is on the <b>left</b>, press <b>'v'</b>.</p><p>If the correct label is in the <b>middle</b>, press <b>'b'</b>.</p><p>If the correct label is on the <b>right</b>, press <b>'n'</b>.</p><br>","","","","","","","","","","","","","","","","","","","",""
"","SAT_assignmentscreen","","html-button-response","11","151551","0.0-10.0","Seal","Martijn","11552","0","","","","","","<h1>Instructions</h1><div id ='align-middle'><b>You</b> will be represented by a  <b>square</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=40></img></div><br><div id ='align-middle'><b>Seal</b> will be represented by a  <b>circle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=40></img></div><br><div id = 'align-middle'><b>Martijn</b> will be represented by a  <b>triangle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=40></img></div><br>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","12","152064","0.0-11.0-0.0","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","13","157767","0.0-11.0-1.0","Seal","Martijn","5701","b","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","circle","1","Seal","Seal","true","Stranger","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","14","158279","0.0-11.0-2.0","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","15","158790","0.0-11.0-0.1","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","16","161543","0.0-11.0-1.1","Seal","Martijn","2752","n","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","triangle","2","Martijn","Martijn","true","Friend","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","17","162044","0.0-11.0-2.1","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","18","162555","0.0-11.0-0.2","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","19","163438","0.0-11.0-1.2","Seal","Martijn","882","b","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","circle","3","Seal","Seal","true","Stranger","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","20","163949","0.0-11.0-2.2","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","21","164463","0.0-11.0-0.3","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","22","164935","0.0-11.0-1.3","Seal","Martijn","470","n","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","triangle","4","Martijn","Martijn","true","Friend","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","23","165442","0.0-11.0-2.3","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","24","165952","0.0-11.0-0.4","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","25","167055","0.0-11.0-1.4","Seal","Martijn","1102","n","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","triangle","5","Martijn","Martijn","true","Friend","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","26","167584","0.0-11.0-2.4","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","27","168095","0.0-11.0-0.5","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","28","168678","0.0-11.0-1.5","Seal","Martijn","584","n","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","triangle","6","Martijn","Martijn","true","Friend","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","29","169179","0.0-11.0-2.5","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","30","169689","0.0-11.0-0.6","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","31","170223","0.0-11.0-1.6","Seal","Martijn","533","v","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","square","7","You","You","true","Self","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","32","170732","0.0-11.0-2.6","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","33","171244","0.0-11.0-0.7","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","34","171870","0.0-11.0-1.7","Seal","Martijn","626","n","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","triangle","8","Martijn","Martijn","true","Friend","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","35","172371","0.0-11.0-2.7","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","36","172885","0.0-11.0-0.8","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","37","173639","0.0-11.0-1.8","Seal","Martijn","754","v","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","square","9","You","You","true","Self","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","38","174146","0.0-11.0-2.8","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","39","174655","0.0-11.0-0.9","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","40","175086","0.0-11.0-1.9","Seal","Martijn","431","b","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","circle","10","Seal","Seal","true","Stranger","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","41","175596","0.0-11.0-2.9","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","42","176157","0.0-11.0-0.10","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","43","176559","0.0-11.0-1.10","Seal","Martijn","402","n","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","triangle","11","Martijn","Martijn","true","Friend","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","44","177070","0.0-11.0-2.10","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","45","177584","0.0-11.0-0.11","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","46","177983","0.0-11.0-1.11","Seal","Martijn","398","b","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","circle","12","Seal","Seal","true","Stranger","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","47","178485","0.0-11.0-2.11","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","48","178997","0.0-11.0-0.12","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","49","179526","0.0-11.0-1.12","Seal","Martijn","528","n","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","triangle","13","Martijn","Martijn","true","Friend","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","50","180052","0.0-11.0-2.12","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","51","180566","0.0-11.0-0.13","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","52","181151","0.0-11.0-1.13","Seal","Martijn","584","v","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","square","14","You","You","true","Self","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","53","181658","0.0-11.0-2.13","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","54","182170","0.0-11.0-0.14","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","55","182823","0.0-11.0-1.14","Seal","Martijn","652","n","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","triangle","15","Martijn","Martijn","true","Friend","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","56","183337","0.0-11.0-2.14","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","57","183847","0.0-11.0-0.15","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","58","184183","0.0-11.0-1.15","Seal","Martijn","336","b","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","circle","16","Seal","Seal","true","Stranger","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","59","184683","0.0-11.0-2.15","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","60","185197","0.0-11.0-0.16","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","61","185942","0.0-11.0-1.16","Seal","Martijn","747","b","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","circle","17","Seal","Seal","true","Stranger","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","62","186453","0.0-11.0-2.16","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","63","186967","0.0-11.0-0.17","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","64","187479","0.0-11.0-1.17","Seal","Martijn","511","b","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","circle","18","Seal","Seal","true","Stranger","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","65","187980","0.0-11.0-2.17","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","66","188491","0.0-11.0-0.18","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","67","188919","0.0-11.0-1.18","Seal","Martijn","428","b","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","circle","19","Seal","Seal","true","Stranger","","","","","","","","","","","","",""
"","sat_practice_end","","html-button-response","68","223320","0.0-12.0","Seal","Martijn","34400","0","","","","","","<h1>Congratulations!</h1><p>You have completed the training.</p>","","","","","","","","","","","","","","","","","","","",""
