Participant,Trial,Correct_Response,Illusion_Type,Illusion_Strength,Illusion_Difference,isi
6n6ab83d1c,1.0,arrowright,Ebbinghaus,1.0,-1.4,8858785.0
6n6ab83d1c,2.0,arrowright,Ebbinghaus,-1.0,-1.4,8861538.0
6n6ab83d1c,3.0,arrowleft,Ebbinghaus,1.0,1.4,8863375.0
6n6ab83d1c,4.0,arrowleft,Ebbinghaus,-0.15,1.4,8865063.0
6n6ab83d1c,5.0,arrowright,Ebbinghaus,-0.15,-1.4,8866527.0
6n6ab83d1c,6.0,arrowright,Ebbinghaus,0.15,-1.4,8867934.0
6n6ab83d1c,7.0,arrowleft,Ebbinghaus,-1.0,1.4,8869729.0
6n6ab83d1c,8.0,arrowleft,Ebbinghaus,0.15,1.4,8871260.0
6n6ab83d1c,9.0,arrowdown,MullerLyer,3.0,-0.7,8893234.0
6n6ab83d1c,10.0,arrowdown,MullerLyer,23.0,-0.7,8894839.0
6n6ab83d1c,11.0,arrowdown,MullerLyer,-23.0,-0.7,8896569.0
6n6ab83d1c,12.0,arrowup,MullerLyer,23.0,0.7,8897818.0
6n6ab83d1c,13.0,arrowup,MullerLyer,-23.0,0.7,8899330.0
6n6ab83d1c,14.0,arrowup,MullerLyer,3.0,0.7,8901045.0
6n6ab83d1c,15.0,arrowup,MullerLyer,-3.0,0.7,8902562.0
6n6ab83d1c,16.0,arrowdown,MullerLyer,-3.0,-0.7,8903889.0
6n6ab83d1c,17.0,arrowright,VerticalHorizontal,33.0,-0.9,8918665.0
6n6ab83d1c,18.0,arrowright,VerticalHorizontal,-33.0,-0.9,8920477.0
6n6ab83d1c,19.0,arrowleft,VerticalHorizontal,-4.5,0.9,8922122.0
6n6ab83d1c,20.0,arrowleft,VerticalHorizontal,-33.0,0.9,8923354.0
6n6ab83d1c,21.0,arrowright,VerticalHorizontal,-4.5,-0.9,8924995.0
6n6ab83d1c,22.0,arrowleft,VerticalHorizontal,4.5,0.9,8926406.0
6n6ab83d1c,23.0,arrowright,VerticalHorizontal,4.5,-0.9,8927700.0
6n6ab83d1c,24.0,arrowleft,VerticalHorizontal,33.0,0.9,8929117.0
6n6ab83d1c,1.0,arrowup,MullerLyer,15.0,0.08716,8970084.0
6n6ab83d1c,2.0,arrowup,MullerLyer,-15.0,0.18509,8971650.0
6n6ab83d1c,3.0,arrowdown,MullerLyer,-3.0,-0.18509,8972781.0
6n6ab83d1c,4.0,arrowup,MullerLyer,9.0,0.45,8974245.0
6n6ab83d1c,5.0,arrowdown,MullerLyer,-27.0,-0.30447,8975691.0
6n6ab83d1c,6.0,arrowdown,MullerLyer,-21.0,-0.30447,8977264.0
6n6ab83d1c,7.0,arrowup,MullerLyer,-27.0,0.30447,8978899.0
6n6ab83d1c,8.0,arrowup,MullerLyer,-21.0,0.45,8980164.0
6n6ab83d1c,9.0,arrowup,MullerLyer,21.0,0.45,8981542.0
6n6ab83d1c,10.0,arrowdown,MullerLyer,15.0,-0.08716,8983485.0
6n6ab83d1c,11.0,arrowup,MullerLyer,-27.0,0.08716,8986528.0
6n6ab83d1c,12.0,arrowdown,MullerLyer,-9.0,-0.08716,8988160.0
6n6ab83d1c,13.0,arrowdown,MullerLyer,-15.0,-0.45,8990049.0
6n6ab83d1c,14.0,arrowdown,MullerLyer,9.0,-0.08716,8991636.0
6n6ab83d1c,15.0,arrowdown,MullerLyer,21.0,-0.45,8995700.0
6n6ab83d1c,16.0,arrowdown,MullerLyer,-21.0,-0.45,8997438.0
6n6ab83d1c,17.0,arrowdown,MullerLyer,15.0,-0.30447,8998735.0
6n6ab83d1c,18.0,arrowup,MullerLyer,-3.0,0.08716,9001274.0
6n6ab83d1c,19.0,arrowup,MullerLyer,-3.0,0.30447,9003513.0
6n6ab83d1c,20.0,arrowup,MullerLyer,21.0,0.08716,9005244.0
6n6ab83d1c,21.0,arrowdown,MullerLyer,3.0,-0.45,9006466.0
6n6ab83d1c,22.0,arrowup,MullerLyer,-9.0,0.08716,9007931.0
6n6ab83d1c,23.0,arrowdown,MullerLyer,15.0,-0.18509,9009694.0
6n6ab83d1c,24.0,arrowdown,MullerLyer,-27.0,-0.45,9011622.0
6n6ab83d1c,25.0,arrowdown,MullerLyer,27.0,-0.45,9013074.0
6n6ab83d1c,26.0,arrowup,MullerLyer,-3.0,0.45,9014966.0
6n6ab83d1c,27.0,arrowup,MullerLyer,-27.0,0.18509,9016654.0
6n6ab83d1c,28.0,arrowup,MullerLyer,-15.0,0.08716,9018023.0
6n6ab83d1c,29.0,arrowdown,MullerLyer,-15.0,-0.08716,9019394.0
6n6ab83d1c,30.0,arrowup,MullerLyer,27.0,0.18509,9020933.0
6n6ab83d1c,31.0,arrowup,MullerLyer,15.0,0.18509,9022253.0
6n6ab83d1c,32.0,arrowup,MullerLyer,-15.0,0.30447,9023899.0
6n6ab83d1c,33.0,arrowup,MullerLyer,-21.0,0.08716,9025267.0
6n6ab83d1c,34.0,arrowup,MullerLyer,15.0,0.45,9027177.0
6n6ab83d1c,35.0,arrowup,MullerLyer,9.0,0.18509,9029719.0
6n6ab83d1c,36.0,arrowup,MullerLyer,-9.0,0.18509,9031890.0
6n6ab83d1c,37.0,arrowdown,MullerLyer,-9.0,-0.45,9033516.0
6n6ab83d1c,38.0,arrowup,MullerLyer,3.0,0.08716,9034790.0
6n6ab83d1c,39.0,arrowdown,MullerLyer,-3.0,-0.08716,9036933.0
6n6ab83d1c,40.0,arrowup,MullerLyer,15.0,0.30447,9038998.0
6n6ab83d1c,41.0,arrowdown,MullerLyer,-21.0,-0.08716,9041089.0
6n6ab83d1c,42.0,arrowdown,MullerLyer,-27.0,-0.18509,9042474.0
6n6ab83d1c,43.0,arrowup,MullerLyer,-27.0,0.45,9043689.0
6n6ab83d1c,44.0,arrowup,MullerLyer,3.0,0.45,9045331.0
6n6ab83d1c,45.0,arrowup,MullerLyer,-21.0,0.18509,9046627.0
6n6ab83d1c,46.0,arrowdown,MullerLyer,9.0,-0.30447,9048057.0
6n6ab83d1c,47.0,arrowdown,MullerLyer,3.0,-0.30447,9049422.0
6n6ab83d1c,48.0,arrowup,MullerLyer,9.0,0.08716,9050693.0
6n6ab83d1c,49.0,arrowdown,MullerLyer,-15.0,-0.18509,9052607.0
6n6ab83d1c,50.0,arrowdown,MullerLyer,-3.0,-0.30447,9054146.0
6n6ab83d1c,51.0,arrowup,MullerLyer,-21.0,0.30447,9055334.0
6n6ab83d1c,52.0,arrowup,MullerLyer,-15.0,0.45,9056647.0
6n6ab83d1c,53.0,arrowdown,MullerLyer,9.0,-0.18509,9057832.0
6n6ab83d1c,54.0,arrowdown,MullerLyer,-15.0,-0.30447,9059828.0
6n6ab83d1c,55.0,arrowup,MullerLyer,-3.0,0.18509,9061041.0
6n6ab83d1c,56.0,arrowup,MullerLyer,27.0,0.08716,9062535.0
6n6ab83d1c,57.0,arrowdown,MullerLyer,21.0,-0.18509,9064601.0
6n6ab83d1c,58.0,arrowdown,MullerLyer,9.0,-0.45,9066328.0
6n6ab83d1c,59.0,arrowdown,MullerLyer,3.0,-0.08716,9068010.0
6n6ab83d1c,60.0,arrowdown,MullerLyer,21.0,-0.08716,9070726.0
6n6ab83d1c,61.0,arrowup,MullerLyer,27.0,0.30447,9072248.0
6n6ab83d1c,62.0,arrowdown,MullerLyer,-9.0,-0.18509,9073972.0
6n6ab83d1c,63.0,arrowdown,MullerLyer,-3.0,-0.45,9075399.0
6n6ab83d1c,64.0,arrowdown,MullerLyer,27.0,-0.08716,9076832.0
6n6ab83d1c,65.0,arrowdown,MullerLyer,3.0,-0.18509,9078174.0
6n6ab83d1c,66.0,arrowup,MullerLyer,21.0,0.18509,9079944.0
6n6ab83d1c,67.0,arrowup,MullerLyer,3.0,0.18509,9081805.0
6n6ab83d1c,68.0,arrowup,MullerLyer,27.0,0.45,9083235.0
6n6ab83d1c,69.0,arrowdown,MullerLyer,21.0,-0.30447,9084838.0
6n6ab83d1c,70.0,arrowdown,MullerLyer,-9.0,-0.30447,9086350.0
6n6ab83d1c,71.0,arrowdown,MullerLyer,-27.0,-0.08716,9087535.0
6n6ab83d1c,72.0,arrowup,MullerLyer,9.0,0.30447,9088976.0
6n6ab83d1c,73.0,arrowup,MullerLyer,3.0,0.30447,9090619.0
6n6ab83d1c,74.0,arrowup,MullerLyer,-9.0,0.30447,9091981.0
6n6ab83d1c,75.0,arrowdown,MullerLyer,-21.0,-0.18509,9094293.0
6n6ab83d1c,76.0,arrowdown,MullerLyer,27.0,-0.18509,9095684.0
6n6ab83d1c,77.0,arrowdown,MullerLyer,27.0,-0.30447,9096962.0
6n6ab83d1c,78.0,arrowup,MullerLyer,-9.0,0.45,9098914.0
6n6ab83d1c,79.0,arrowdown,MullerLyer,15.0,-0.45,9100298.0
6n6ab83d1c,80.0,arrowup,MullerLyer,21.0,0.30447,9101776.0
6n6ab83d1c,1.0,arrowleft,Ebbinghaus,1.35,0.5,9118857.0
6n6ab83d1c,2.0,arrowleft,Ebbinghaus,0.45,0.20566,9120974.0
6n6ab83d1c,3.0,arrowleft,Ebbinghaus,-0.75,0.09684,9122926.0
6n6ab83d1c,4.0,arrowright,Ebbinghaus,0.75,-0.20566,9124887.0
6n6ab83d1c,5.0,arrowright,Ebbinghaus,0.15,-0.3383,9127838.0
6n6ab83d1c,6.0,arrowleft,Ebbinghaus,0.45,0.3383,9129791.0
6n6ab83d1c,7.0,arrowleft,Ebbinghaus,0.75,0.09684,9131662.0
6n6ab83d1c,8.0,arrowleft,Ebbinghaus,0.45,0.09684,9133583.0
6n6ab83d1c,9.0,arrowleft,Ebbinghaus,-0.75,0.5,9135923.0
6n6ab83d1c,10.0,arrowright,Ebbinghaus,-1.05,-0.5,9137762.0
6n6ab83d1c,11.0,arrowright,Ebbinghaus,-1.35,-0.20566,9139529.0
6n6ab83d1c,12.0,arrowleft,Ebbinghaus,1.35,0.09684,9140995.0
6n6ab83d1c,13.0,arrowright,Ebbinghaus,-1.35,-0.5,9143654.0
6n6ab83d1c,14.0,arrowleft,Ebbinghaus,-0.45,0.5,9145621.0
6n6ab83d1c,15.0,arrowleft,Ebbinghaus,1.05,0.3383,9147637.0
6n6ab83d1c,16.0,arrowleft,Ebbinghaus,0.75,0.5,9150404.0
6n6ab83d1c,17.0,arrowright,Ebbinghaus,-0.15,-0.20566,9151773.0
6n6ab83d1c,18.0,arrowleft,Ebbinghaus,0.15,0.20566,9154412.0
6n6ab83d1c,19.0,arrowright,Ebbinghaus,1.05,-0.09684,9156117.0
6n6ab83d1c,20.0,arrowleft,Ebbinghaus,-1.05,0.5,9157879.0
6n6ab83d1c,21.0,arrowleft,Ebbinghaus,-0.15,0.09684,9159763.0
6n6ab83d1c,22.0,arrowleft,Ebbinghaus,-1.35,0.09684,9161918.0
6n6ab83d1c,23.0,arrowright,Ebbinghaus,-0.75,-0.20566,9165562.0
6n6ab83d1c,24.0,arrowright,Ebbinghaus,-0.45,-0.3383,9167479.0
6n6ab83d1c,25.0,arrowright,Ebbinghaus,-1.05,-0.20566,9169338.0
6n6ab83d1c,26.0,arrowright,Ebbinghaus,-0.75,-0.09684,9171270.0
6n6ab83d1c,27.0,arrowright,Ebbinghaus,1.35,-0.20566,9173173.0
6n6ab83d1c,28.0,arrowleft,Ebbinghaus,-1.35,0.3383,9176482.0
6n6ab83d1c,29.0,arrowleft,Ebbinghaus,0.15,0.09684,9178159.0
6n6ab83d1c,30.0,arrowright,Ebbinghaus,0.15,-0.5,9181003.0
6n6ab83d1c,31.0,arrowleft,Ebbinghaus,-0.45,0.3383,9182713.0
6n6ab83d1c,32.0,arrowleft,Ebbinghaus,-1.05,0.09684,9184335.0
6n6ab83d1c,33.0,arrowright,Ebbinghaus,-1.05,-0.09684,9186459.0
6n6ab83d1c,34.0,arrowright,Ebbinghaus,1.05,-0.5,9188459.0
6n6ab83d1c,35.0,arrowleft,Ebbinghaus,1.05,0.09684,9189854.0
6n6ab83d1c,36.0,arrowright,Ebbinghaus,-0.15,-0.3383,9191581.0
6n6ab83d1c,37.0,arrowleft,Ebbinghaus,-1.05,0.3383,9193215.0
6n6ab83d1c,38.0,arrowleft,Ebbinghaus,-1.05,0.20566,9194744.0
6n6ab83d1c,39.0,arrowleft,Ebbinghaus,0.45,0.5,9196439.0
6n6ab83d1c,40.0,arrowright,Ebbinghaus,-0.15,-0.5,9197874.0
6n6ab83d1c,41.0,arrowright,Ebbinghaus,1.35,-0.5,9199530.0
6n6ab83d1c,42.0,arrowleft,Ebbinghaus,-0.75,0.20566,9201578.0
6n6ab83d1c,43.0,arrowleft,Ebbinghaus,0.75,0.20566,9203174.0
6n6ab83d1c,44.0,arrowright,Ebbinghaus,-0.15,-0.09684,9205401.0
6n6ab83d1c,45.0,arrowright,Ebbinghaus,-0.45,-0.20566,9208647.0
6n6ab83d1c,46.0,arrowleft,Ebbinghaus,0.75,0.3383,9210137.0
6n6ab83d1c,47.0,arrowleft,Ebbinghaus,1.35,0.3383,9211958.0
6n6ab83d1c,48.0,arrowright,Ebbinghaus,0.45,-0.3383,9213742.0
6n6ab83d1c,49.0,arrowright,Ebbinghaus,-0.75,-0.5,9216240.0
6n6ab83d1c,50.0,arrowleft,Ebbinghaus,-0.45,0.20566,9218015.0
6n6ab83d1c,51.0,arrowleft,Ebbinghaus,0.15,0.3383,9219783.0
6n6ab83d1c,52.0,arrowleft,Ebbinghaus,-1.35,0.20566,9221670.0
6n6ab83d1c,53.0,arrowright,Ebbinghaus,0.15,-0.09684,9223173.0
6n6ab83d1c,54.0,arrowleft,Ebbinghaus,-0.15,0.3383,9226620.0
6n6ab83d1c,55.0,arrowright,Ebbinghaus,0.75,-0.5,9228370.0
6n6ab83d1c,56.0,arrowright,Ebbinghaus,0.15,-0.20566,9229830.0
6n6ab83d1c,57.0,arrowright,Ebbinghaus,-1.05,-0.3383,9232449.0
6n6ab83d1c,58.0,arrowleft,Ebbinghaus,-0.45,0.09684,9233959.0
6n6ab83d1c,59.0,arrowleft,Ebbinghaus,-0.15,0.5,9235393.0
6n6ab83d1c,60.0,arrowright,Ebbinghaus,0.45,-0.09684,9236982.0
6n6ab83d1c,61.0,arrowleft,Ebbinghaus,-0.15,0.20566,9238531.0
6n6ab83d1c,62.0,arrowright,Ebbinghaus,0.75,-0.3383,9240097.0
6n6ab83d1c,63.0,arrowleft,Ebbinghaus,-0.75,0.3383,9241772.0
6n6ab83d1c,64.0,arrowright,Ebbinghaus,-0.45,-0.5,9243209.0
6n6ab83d1c,65.0,arrowright,Ebbinghaus,0.45,-0.5,9244714.0
6n6ab83d1c,66.0,arrowright,Ebbinghaus,1.35,-0.3383,9246176.0
6n6ab83d1c,67.0,arrowright,Ebbinghaus,-0.45,-0.09684,9248366.0
6n6ab83d1c,68.0,arrowright,Ebbinghaus,1.05,-0.3383,9251466.0
6n6ab83d1c,69.0,arrowright,Ebbinghaus,-0.75,-0.3383,9253423.0
6n6ab83d1c,70.0,arrowright,Ebbinghaus,1.05,-0.20566,9255293.0
6n6ab83d1c,71.0,arrowleft,Ebbinghaus,0.15,0.5,9259804.0
6n6ab83d1c,72.0,arrowleft,Ebbinghaus,1.05,0.20566,9261630.0
6n6ab83d1c,73.0,arrowleft,Ebbinghaus,1.35,0.20566,9263534.0
6n6ab83d1c,74.0,arrowleft,Ebbinghaus,1.05,0.5,9266154.0
6n6ab83d1c,75.0,arrowright,Ebbinghaus,0.75,-0.09684,9267379.0
6n6ab83d1c,76.0,arrowright,Ebbinghaus,1.35,-0.09684,9268662.0
6n6ab83d1c,77.0,arrowright,Ebbinghaus,-1.35,-0.3383,9273033.0
6n6ab83d1c,78.0,arrowright,Ebbinghaus,-1.35,-0.09684,9275001.0
6n6ab83d1c,79.0,arrowright,Ebbinghaus,0.45,-0.20566,9277106.0
6n6ab83d1c,80.0,arrowleft,Ebbinghaus,-1.35,0.5,9278878.0
6n6ab83d1c,1.0,arrowleft,VerticalHorizontal,-22.5,0.20298,9290241.0
6n6ab83d1c,2.0,arrowright,VerticalHorizontal,-40.5,-0.3,9292657.0
6n6ab83d1c,3.0,arrowright,VerticalHorizontal,-31.5,-0.12339,9293824.0
6n6ab83d1c,4.0,arrowleft,VerticalHorizontal,22.5,0.20298,9295648.0
6n6ab83d1c,5.0,arrowright,VerticalHorizontal,-13.5,-0.3,9297099.0
6n6ab83d1c,6.0,arrowleft,VerticalHorizontal,13.5,0.20298,9298314.0
6n6ab83d1c,7.0,arrowright,VerticalHorizontal,31.5,-0.3,9299723.0
6n6ab83d1c,8.0,arrowright,VerticalHorizontal,31.5,-0.12339,9302530.0
6n6ab83d1c,9.0,arrowleft,VerticalHorizontal,-13.5,0.0581,9305481.0
6n6ab83d1c,10.0,arrowleft,VerticalHorizontal,13.5,0.0581,9307050.0
6n6ab83d1c,11.0,arrowright,VerticalHorizontal,-4.5,-0.0581,9310621.0
6n6ab83d1c,12.0,arrowright,VerticalHorizontal,22.5,-0.12339,9313658.0
6n6ab83d1c,13.0,arrowleft,VerticalHorizontal,-31.5,0.20298,9315855.0
6n6ab83d1c,14.0,arrowright,VerticalHorizontal,4.5,-0.0581,9317500.0
6n6ab83d1c,15.0,arrowright,VerticalHorizontal,-40.5,-0.12339,9320333.0
6n6ab83d1c,16.0,arrowleft,VerticalHorizontal,4.5,0.0581,9321577.0
6n6ab83d1c,17.0,arrowleft,VerticalHorizontal,-13.5,0.12339,9323750.0
6n6ab83d1c,18.0,arrowright,VerticalHorizontal,22.5,-0.3,9325417.0
6n6ab83d1c,19.0,arrowright,VerticalHorizontal,-40.5,-0.0581,9326808.0
6n6ab83d1c,20.0,arrowright,VerticalHorizontal,13.5,-0.3,9328433.0
6n6ab83d1c,21.0,arrowright,VerticalHorizontal,-22.5,-0.3,9330275.0
6n6ab83d1c,22.0,arrowleft,VerticalHorizontal,-31.5,0.12339,9331682.0
6n6ab83d1c,23.0,arrowright,VerticalHorizontal,-31.5,-0.3,9333146.0
6n6ab83d1c,24.0,arrowright,VerticalHorizontal,40.5,-0.3,9334689.0
6n6ab83d1c,25.0,arrowright,VerticalHorizontal,-31.5,-0.0581,9336994.0
6n6ab83d1c,26.0,arrowright,VerticalHorizontal,4.5,-0.12339,9338968.0
6n6ab83d1c,27.0,arrowright,VerticalHorizontal,-4.5,-0.12339,9341106.0
6n6ab83d1c,28.0,arrowleft,VerticalHorizontal,40.5,0.3,9343550.0
6n6ab83d1c,29.0,arrowleft,VerticalHorizontal,-40.5,0.12339,9345373.0
6n6ab83d1c,30.0,arrowleft,VerticalHorizontal,13.5,0.3,9347074.0
6n6ab83d1c,31.0,arrowright,VerticalHorizontal,-31.5,-0.20298,9348480.0
6n6ab83d1c,32.0,arrowleft,VerticalHorizontal,13.5,0.12339,9349910.0
6n6ab83d1c,33.0,arrowright,VerticalHorizontal,-13.5,-0.20298,9351167.0
6n6ab83d1c,34.0,arrowleft,VerticalHorizontal,-4.5,0.3,9352821.0
6n6ab83d1c,35.0,arrowleft,VerticalHorizontal,4.5,0.3,9354297.0
6n6ab83d1c,36.0,arrowleft,VerticalHorizontal,-31.5,0.3,9355732.0
6n6ab83d1c,37.0,arrowright,VerticalHorizontal,-40.5,-0.20298,9357189.0
6n6ab83d1c,38.0,arrowleft,VerticalHorizontal,-31.5,0.0581,9358600.0
6n6ab83d1c,39.0,arrowright,VerticalHorizontal,-22.5,-0.20298,9360049.0
6n6ab83d1c,40.0,arrowright,VerticalHorizontal,-13.5,-0.12339,9361346.0
6n6ab83d1c,41.0,arrowright,VerticalHorizontal,22.5,-0.0581,9363403.0
6n6ab83d1c,42.0,arrowleft,VerticalHorizontal,-13.5,0.20298,9365300.0
6n6ab83d1c,43.0,arrowleft,VerticalHorizontal,-40.5,0.3,9366542.0
6n6ab83d1c,44.0,arrowleft,VerticalHorizontal,40.5,0.20298,9368280.0
6n6ab83d1c,45.0,arrowright,VerticalHorizontal,31.5,-0.0581,9371640.0
6n6ab83d1c,46.0,arrowleft,VerticalHorizontal,40.5,0.12339,9374072.0
6n6ab83d1c,47.0,arrowleft,VerticalHorizontal,-4.5,0.20298,9379011.0
6n6ab83d1c,48.0,arrowright,VerticalHorizontal,13.5,-0.20298,9380624.0
6n6ab83d1c,49.0,arrowleft,VerticalHorizontal,-22.5,0.12339,9382254.0
6n6ab83d1c,50.0,arrowleft,VerticalHorizontal,31.5,0.0581,9383865.0
6n6ab83d1c,51.0,arrowleft,VerticalHorizontal,40.5,0.0581,9385220.0
6n6ab83d1c,52.0,arrowleft,VerticalHorizontal,4.5,0.12339,9387442.0
6n6ab83d1c,53.0,arrowleft,VerticalHorizontal,31.5,0.20298,9389511.0
6n6ab83d1c,54.0,arrowright,VerticalHorizontal,-22.5,-0.12339,9392068.0
6n6ab83d1c,55.0,arrowright,VerticalHorizontal,13.5,-0.12339,9393495.0
6n6ab83d1c,56.0,arrowleft,VerticalHorizontal,-22.5,0.3,9395994.0
6n6ab83d1c,57.0,arrowleft,VerticalHorizontal,22.5,0.12339,9397437.0
6n6ab83d1c,58.0,arrowleft,VerticalHorizontal,-40.5,0.20298,9400061.0
6n6ab83d1c,59.0,arrowleft,VerticalHorizontal,-40.5,0.0581,9401646.0
6n6ab83d1c,60.0,arrowleft,VerticalHorizontal,22.5,0.0581,9403678.0
6n6ab83d1c,61.0,arrowright,VerticalHorizontal,4.5,-0.20298,9404848.0
6n6ab83d1c,62.0,arrowleft,VerticalHorizontal,-4.5,0.0581,9406902.0
6n6ab83d1c,63.0,arrowright,VerticalHorizontal,-22.5,-0.0581,9408608.0
6n6ab83d1c,64.0,arrowright,VerticalHorizontal,22.5,-0.20298,9409888.0
6n6ab83d1c,65.0,arrowleft,VerticalHorizontal,-13.5,0.3,9411874.0
6n6ab83d1c,66.0,arrowright,VerticalHorizontal,-4.5,-0.20298,9413588.0
6n6ab83d1c,67.0,arrowleft,VerticalHorizontal,22.5,0.3,9414891.0
6n6ab83d1c,68.0,arrowleft,VerticalHorizontal,-22.5,0.0581,9416601.0
6n6ab83d1c,69.0,arrowright,VerticalHorizontal,40.5,-0.0581,9418038.0
6n6ab83d1c,70.0,arrowright,VerticalHorizontal,4.5,-0.3,9419372.0
6n6ab83d1c,71.0,arrowright,VerticalHorizontal,-4.5,-0.3,9421028.0
6n6ab83d1c,72.0,arrowright,VerticalHorizontal,-13.5,-0.0581,9422675.0
6n6ab83d1c,73.0,arrowright,VerticalHorizontal,40.5,-0.20298,9424898.0
6n6ab83d1c,74.0,arrowleft,VerticalHorizontal,4.5,0.20298,9426547.0
6n6ab83d1c,75.0,arrowright,VerticalHorizontal,31.5,-0.20298,9427868.0
6n6ab83d1c,76.0,arrowleft,VerticalHorizontal,31.5,0.12339,9429604.0
6n6ab83d1c,77.0,arrowleft,VerticalHorizontal,-4.5,0.12339,9431866.0
6n6ab83d1c,78.0,arrowleft,VerticalHorizontal,31.5,0.3,9434167.0
6n6ab83d1c,79.0,arrowright,VerticalHorizontal,40.5,-0.12339,9435725.0
6n6ab83d1c,80.0,arrowright,VerticalHorizontal,13.5,-0.0581,9438253.0
6n6ab83d1c,1.0,arrowup,MullerLyer,-6.0,0.37364,9625417.0
6n6ab83d1c,2.0,arrowup,MullerLyer,-18.0,0.045,9627891.0
6n6ab83d1c,3.0,arrowup,MullerLyer,12.0,0.1337,9629833.0
6n6ab83d1c,4.0,arrowdown,MullerLyer,-18.0,-0.045,9631949.0
6n6ab83d1c,5.0,arrowdown,MullerLyer,-24.0,-0.1337,9633234.0
6n6ab83d1c,6.0,arrowup,MullerLyer,6.0,0.1337,9634914.0
6n6ab83d1c,7.0,arrowdown,MullerLyer,18.0,-0.37364,9636874.0
6n6ab83d1c,8.0,arrowdown,MullerLyer,-6.0,-0.1337,9638880.0
6n6ab83d1c,9.0,arrowup,MullerLyer,18.0,0.1337,9640868.0
6n6ab83d1c,10.0,arrowdown,MullerLyer,12.0,-0.045,9642517.0
6n6ab83d1c,11.0,arrowup,MullerLyer,18.0,0.24183,9644127.0
6n6ab83d1c,12.0,arrowdown,MullerLyer,-30.0,-0.1337,9647117.0
6n6ab83d1c,13.0,arrowup,MullerLyer,18.0,0.37364,9648723.0
6n6ab83d1c,14.0,arrowdown,MullerLyer,-30.0,-0.37364,9650042.0
6n6ab83d1c,15.0,arrowup,MullerLyer,-24.0,0.24183,9651557.0
6n6ab83d1c,16.0,arrowdown,MullerLyer,-18.0,-0.37364,9653092.0
6n6ab83d1c,17.0,arrowdown,MullerLyer,-24.0,-0.37364,9654784.0
6n6ab83d1c,18.0,arrowup,MullerLyer,-18.0,0.1337,9656048.0
6n6ab83d1c,19.0,arrowdown,MullerLyer,-6.0,-0.24183,9657851.0
6n6ab83d1c,20.0,arrowdown,MullerLyer,6.0,-0.045,9659433.0
6n6ab83d1c,21.0,arrowup,MullerLyer,-24.0,0.37364,9661134.0
6n6ab83d1c,22.0,arrowup,MullerLyer,12.0,0.24183,9662985.0
6n6ab83d1c,23.0,arrowdown,MullerLyer,-30.0,-0.045,9665289.0
6n6ab83d1c,24.0,arrowup,MullerLyer,30.0,0.1337,9666780.0
6n6ab83d1c,25.0,arrowup,MullerLyer,30.0,0.37364,9669026.0
6n6ab83d1c,26.0,arrowup,MullerLyer,12.0,0.37364,9671784.0
6n6ab83d1c,27.0,arrowup,MullerLyer,-24.0,0.1337,9673496.0
6n6ab83d1c,28.0,arrowup,MullerLyer,-30.0,0.37364,9674961.0
6n6ab83d1c,29.0,arrowdown,MullerLyer,-12.0,-0.1337,9676711.0
6n6ab83d1c,30.0,arrowdown,MullerLyer,30.0,-0.045,9678631.0
6n6ab83d1c,31.0,arrowdown,MullerLyer,18.0,-0.1337,9680218.0
6n6ab83d1c,32.0,arrowup,MullerLyer,-30.0,0.1337,9682290.0
6n6ab83d1c,33.0,arrowup,MullerLyer,18.0,0.045,9683608.0
6n6ab83d1c,34.0,arrowup,MullerLyer,-12.0,0.24183,9685580.0
6n6ab83d1c,35.0,arrowup,MullerLyer,-30.0,0.24183,9687059.0
6n6ab83d1c,36.0,arrowdown,MullerLyer,18.0,-0.24183,9688233.0
6n6ab83d1c,37.0,arrowdown,MullerLyer,-6.0,-0.37364,9690792.0
6n6ab83d1c,38.0,arrowdown,MullerLyer,6.0,-0.37364,9692284.0
6n6ab83d1c,39.0,arrowup,MullerLyer,-18.0,0.37364,9693849.0
6n6ab83d1c,40.0,arrowup,MullerLyer,-6.0,0.1337,9695220.0
6n6ab83d1c,41.0,arrowup,MullerLyer,24.0,0.37364,9696626.0
6n6ab83d1c,42.0,arrowup,MullerLyer,6.0,0.37364,9698564.0
6n6ab83d1c,43.0,arrowdown,MullerLyer,-18.0,-0.24183,9700090.0
6n6ab83d1c,44.0,arrowup,MullerLyer,6.0,0.045,9701480.0
6n6ab83d1c,45.0,arrowup,MullerLyer,24.0,0.24183,9703165.0
6n6ab83d1c,46.0,arrowdown,MullerLyer,24.0,-0.045,9705639.0
6n6ab83d1c,47.0,arrowup,MullerLyer,6.0,0.24183,9708639.0
6n6ab83d1c,48.0,arrowdown,MullerLyer,-12.0,-0.24183,9710454.0
6n6ab83d1c,49.0,arrowup,MullerLyer,24.0,0.1337,9712261.0
6n6ab83d1c,50.0,arrowup,MullerLyer,30.0,0.24183,9714523.0
6n6ab83d1c,51.0,arrowdown,MullerLyer,18.0,-0.045,9717395.0
6n6ab83d1c,52.0,arrowdown,MullerLyer,-30.0,-0.24183,9720416.0
6n6ab83d1c,53.0,arrowdown,MullerLyer,24.0,-0.1337,9722182.0
6n6ab83d1c,54.0,arrowdown,MullerLyer,-6.0,-0.045,9723824.0
6n6ab83d1c,55.0,arrowdown,MullerLyer,-12.0,-0.37364,9726093.0
6n6ab83d1c,56.0,arrowup,MullerLyer,-12.0,0.37364,9727486.0
